system:index,date,precip_mm,.geo
19810101,1981-01-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810102,1981-01-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810103,1981-01-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810104,1981-01-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810105,1981-01-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810106,1981-01-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810107,1981-01-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810108,1981-01-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810109,1981-01-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810110,1981-01-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810111,1981-01-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810112,1981-01-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810113,1981-01-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810114,1981-01-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810115,1981-01-15,19.39303970336914,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810116,1981-01-16,2.2399449348449707,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810117,1981-01-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810118,1981-01-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810119,1981-01-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810120,1981-01-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810121,1981-01-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810122,1981-01-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810123,1981-01-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810124,1981-01-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810125,1981-01-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810126,1981-01-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810127,1981-01-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810128,1981-01-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810129,1981-01-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810130,1981-01-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810131,1981-01-31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810201,1981-02-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810202,1981-02-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810203,1981-02-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810204,1981-02-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810205,1981-02-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810206,1981-02-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810207,1981-02-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810208,1981-02-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810209,1981-02-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810210,1981-02-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810211,1981-02-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810212,1981-02-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810213,1981-02-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810214,1981-02-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810215,1981-02-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810216,1981-02-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810217,1981-02-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810218,1981-02-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810219,1981-02-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810220,1981-02-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810221,1981-02-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810222,1981-02-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810223,1981-02-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810224,1981-02-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810225,1981-02-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810226,1981-02-26,12.64217472076416,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810227,1981-02-27,45.47788619995117,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810228,1981-02-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810301,1981-03-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810302,1981-03-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810303,1981-03-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810304,1981-03-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810305,1981-03-05,12.86990737915039,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810306,1981-03-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810307,1981-03-07,10.243264198303223,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810308,1981-03-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810309,1981-03-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810310,1981-03-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810311,1981-03-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810312,1981-03-12,5.933325290679932,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810313,1981-03-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810314,1981-03-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810315,1981-03-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810316,1981-03-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810317,1981-03-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810318,1981-03-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810319,1981-03-19,3.679675340652466,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810320,1981-03-20,17.791419982910156,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810321,1981-03-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810322,1981-03-22,15.763716697692871,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810323,1981-03-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810324,1981-03-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810325,1981-03-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810326,1981-03-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810327,1981-03-27,3.4459822177886963,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810328,1981-03-28,5.034805774688721,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810329,1981-03-29,1.2498745918273926,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810330,1981-03-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810331,1981-03-31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810401,1981-04-01,52.51325225830078,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810402,1981-04-02,22.695598602294922,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810403,1981-04-03,15.098746299743652,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810404,1981-04-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810405,1981-04-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810406,1981-04-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810407,1981-04-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810408,1981-04-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810409,1981-04-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810410,1981-04-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810411,1981-04-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810412,1981-04-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810413,1981-04-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810414,1981-04-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810415,1981-04-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810416,1981-04-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810417,1981-04-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
