"Category";"AETI Point 2";"RET Point 2";"PCP Point 2"
"2018-01-01";0,3;0,7;2,5
"2018-01-11";0,4;0,9;1,1
"2018-01-21";0,6;1,2;2,3
"2018-02-01";0,7;1,5;0
"2018-02-11";0,9;1,5;0
"2018-02-21";1,2;1,9;3,4
"2018-03-01";0,9;1,6;6,2
"2018-03-11";1;1,7;3,1
"2018-03-21";1,9;2,5;0
"2018-04-01";1,7;2,3;3,5
"2018-04-11";2,3;2,9;3
"2018-04-21";2,6;3,5;2,8
"2018-05-01";3;4,1;2,2
"2018-05-11";3,5;4,9;0
"2018-05-21";2,2;3,8;1,3
"2018-06-01";1,9;3,9;0
"2018-06-11";3,1;5,8;0,7
"2018-06-21";2,5;5,6;0,5
"2018-07-01";2,5;5,8;0
"2018-07-11";2,5;6,3;0
"2018-07-21";2,2;6,4;0
"2018-08-01";2,8;7,7;0
"2018-08-11";2,4;6,3;0
"2018-08-21";2,5;6,4;0,2
"2018-09-01";1,7;5;0
"2018-09-11";2;4,8;0,7
"2018-09-21";2,4;5;0,5
"2018-10-01";2,2;3,9;0
"2018-10-11";1,2;2,6;0
"2018-10-21";1,1;2;6
"2018-11-01";0,7;1,5;1,8
"2018-11-11";0,7;1,3;6,6
"2018-11-21";0,4;1;2
"2018-12-01";0,5;0,9;0
"2018-12-11";0,4;0,8;1,7
"2018-12-21";0,4;0,9;1,4
"2019-01-01";0,5;1;0
"2019-01-11";0,5;1;1,5
"2019-01-21";0,6;1;1,7
"2019-02-01";0,8;1,4;1,7
"2019-02-11";1,1;1,7;0,5
"2019-02-21";1,9;2,4;0
"2019-03-01";1,5;2,1;0
"2019-03-11";2,6;3,2;0,6
"2019-03-21";3,1;3,5;1,3
"2019-04-01";1,9;2,9;0
"2019-04-11";2,2;3,5;2,9
"2019-04-21";2,6;4,1;1,7
"2019-05-01";2,4;4,5;2
"2019-05-11";3,1;6,1;0
"2019-05-21";3,3;7,5;0
"2019-06-01";2,6;6,6;0
"2019-06-11";2;5,9;0,2
"2019-06-21";2;6,4;0,4
"2019-07-01";1,6;5,8;0
"2019-07-11";1,8;6,9;0
"2019-07-21";2;6,8;0
"2019-08-01";1,9;6,2;0
"2019-08-11";2,5;7;0
"2019-08-21";2,4;6;0
"2019-09-01";2,1;5,9;0,3
"2019-09-11";1,8;4,9;0,4
"2019-09-21";1,5;3,9;0,9
"2019-10-01";1,7;3,8;0,6
"2019-10-11";0,9;2,5;0,5
"2019-10-21";0,8;2,1;0,4
"2019-11-01";0,6;1,8;1,2
"2019-11-11";0,5;1,5;0,7
"2019-11-21";0,3;1;4,4
"2019-12-01";0,4;1;0
"2019-12-11";0,3;0,9;9,6
"2019-12-21";0,5;0,9;0
"2020-01-01";0,4;0,8;0
"2020-01-11";0,7;1,2;0
"2020-01-21";0,5;0,8;3,3
"2020-02-01";1;1,5;0
"2020-02-11";1,1;1,7;0,6
"2020-02-21";1,8;2,4;0
"2020-03-01";2;2,5;0,8
"2020-03-11";2,3;2,9;1
"2020-03-21";1,8;2,7;1,9
"2020-04-01";1,9;2,5;1,5
"2020-04-11";2,2;3,2;3
"2020-04-21";2,3;3,5;1,2
"2020-05-01";3;4,6;0
"2020-05-11";2,3;4,4;3,6
"2020-05-21";3,1;6,2;0,4
"2020-06-01";2,1;5,5;0,2
"2020-06-11";1,8;5,5;0,3
"2020-06-21";2,7;7,2;0
"2020-07-01";2,8;7,3;0
"2020-07-11";2,9;7,7;0,1
"2020-07-21";1,4;7,2;0
"2020-08-01";1,3;7,2;0
"2020-08-11";1;5,6;0
"2020-08-21";1,7;6,3;0
"2020-09-01";2,1;5,7;0
"2020-09-11";1,1;3,9;2,3
"2020-09-21";1,1;3,9;0
"2020-10-01";1,1;3,3;1
"2020-10-11";1,1;3,2;6,7
"2020-10-21";0,8;2,1;0,3
"2020-11-01";0,7;1,8;5,5
"2020-11-11";0,9;2;0
"2020-11-21";0,6;1,4;4,3
"2020-12-01";0,5;1,3;0
"2020-12-11";0,3;0,8;6,4
"2020-12-21";0,6;1,2;0
"2021-01-01";0,4;1,1;1
"2021-01-11";0,5;1,1;3,4
"2021-01-21";0,5;1,1;0
"2021-02-01";0,6;1;4,3
"2021-02-11";1,3;1,8;1,6
"2021-02-21";1,2;1,7;2,8
"2021-03-01";1,7;2;1,6
"2021-03-11";2,9;3,4;0
"2021-03-21";3;3,3;1,2
"2021-04-01";2,5;3,1;0
"2021-04-11";2,7;3,4;0
"2021-04-21";2,2;3,2;3
"2021-05-01";3;4,8;0
"2021-05-11";2,8;5,4;0
"2021-05-21";2,9;5,8;1,9
"2021-06-01";3,1;6,6;0
"2021-06-11";2,2;5,3;0
"2021-06-21";2,6;6,5;0,6
"2021-07-01";2,5;6,6;0
"2021-07-11";2,6;7,3;0
"2021-07-21";2,2;6,9;0
"2021-08-01";2,2;6,4;0
"2021-08-11";2,7;7,2;0
"2021-08-21";1,9;5,5;0
"2021-09-01";1,9;5;0,8
"2021-09-11";1,7;4,3;3,8
"2021-09-21";1,8;4,2;0
"2021-10-01";1,7;3,9;0,8
"2021-10-11";1,7;3,2;0,5
"2021-10-21";1,2;2,7;0,3
"2021-11-01";0,9;2,2;1
"2021-11-11";1;2,3;0,5
"2021-11-21";0,5;1,3;0
"2021-12-01";0,5;1,1;0
"2021-12-11";0,6;1,6;2,8
"2021-12-21";0,4;1,1;4,1
"2022-01-01";0,5;1,2;0,4
"2022-01-11";0,7;1,6;0
"2022-01-21";1,1;2;1
"2022-02-01";1,2;2,1;0
"2022-02-11";1,3;2,1;0
"2022-02-21";1,7;2,7;2
"2022-03-01";1,5;2,6;0
"2022-03-11";1,6;2,5;5,3
"2022-03-21";1,6;2,3;5,5
"2022-04-01";2,4;3,6;1,7
"2022-04-11";3;4,2;0
"2022-04-21";2,4;3,7;2,9
"2022-05-01";3,6;5,4;0,5
"2022-05-11";3,4;5,8;0,4
"2022-05-21";2,6;6,3;0,6
"2022-06-01";1,9;6,2;0
"2022-06-11";1,9;6,3;0,8
"2022-06-21";1,4;6,2;0
"2022-07-01";2,1;7,2;0
"2022-07-11";2;7,7;0,2
"2022-07-21";1,9;7,7;0
"2022-08-01";1,7;6,4;0
"2022-08-11";2;6,5;0
"2022-08-21";2;5,8;0
"2022-09-01";1,8;4,9;0
"2022-09-11";1,6;4,1;3,7
"2022-09-21";1,7;4,2;1
"2022-10-01";2,1;3,9;0
"2022-10-11";1,5;2,9;3,5
"2022-10-21";1,3;2,2;2,6
"2022-11-01";1,1;1,9;0,7
"2022-11-11";0,9;1,7;0,8
"2022-11-21";0,8;1,4;1,3
"2022-12-01";0,5;1;7,1
"2022-12-11";0,6;1;5,5
"2022-12-21";0,7;1;0
"2023-01-01";0,4;0,9;0,7
"2023-01-11";0,7;1,1;0,5
"2023-01-21";0,8;1,5;1,8
"2023-02-01";1;1,7;0
"2023-02-11";1,5;2,2;2,9
"2023-02-21";1;1,8;0
"2023-03-01";1,1;1,9;2,1
"2023-03-11";1,8;2,9;0
"2023-03-21";2,4;3,5;0
"2023-04-01";3,2;4,7;0,4
"2023-04-11";3,1;5,2;0,5
"2023-04-21";3;5,3;0,4
"2023-05-01";2,9;5,9;1
"2023-05-11";3,1;6,6;0,8
"2023-05-21";2,1;4,9;1,7
"2023-06-01";2,3;5,3;0,5
"2023-06-11";2,8;6,6;0,2
"2023-06-21";3,1;7,7;0,2
"2023-07-01";2,5;8;0,1
"2023-07-11";2,1;7,6;0,1
"2023-07-21";1,6;7,2;0
"2023-08-01";1,7;7,9;0
"2023-08-11";0,8;6,9;0
"2023-08-21";0,7;6,8;0,1
"2023-09-01";0,4;4,2;1,2
"2023-09-11";0,9;3,9;1,2
"2023-09-21";1,1;4,1;0,4
"2023-10-01";1,6;4,2;0,6
"2023-10-11";0,7;2,8;1
"2023-10-21";0,6;1,8;2,7
"2023-11-01";0,9;1,9;0,9
"2023-11-11";0,7;1,5;0,8
"2023-11-21";0,7;1,4;0,9
"2023-12-01";0,4;0,9;2,7
"2023-12-11";0,7;1,1;0,9
"2023-12-21";0,4;0,9;1,8
"2024-01-01";0,3;0,9;1,1
"2024-01-11";0,7;1;4,2
"2024-01-21";0,9;1,4;1,3
"2024-02-01";1;1,6;3,8
"2024-02-11";1,3;1,7;0,7
"2024-02-21";1,5;2,1;0,1
"2024-03-01";1,4;1,9;1,6
"2024-03-11";1,9;2,5;0,6
"2024-03-21";1,9;2,4;3,1
"2024-04-01";2,9;3,2;3,8
"2024-04-11";3,9;4,2;1,7
"2024-04-21";3,2;4,1;0,9
"2024-05-01";3,5;4,7;1
"2024-05-11";2,8;4,9;0,8
"2024-05-21";3,5;6;0,8
"2024-06-01";2,7;5,4;0
"2024-06-11";2,3;6;0,1
"2024-06-21";2,3;6;0
"2024-07-01";2,8;7,1;0
"2024-07-11";2,7;7;0
"2024-07-21";3;7,3;0,1
"2024-08-01";2,8;7,3;0
"2024-08-11";2,8;7,4;0
"2024-08-21";2,3;6,2;0,1
"2024-09-01";1,9;5,4;0
"2024-09-11";2;5;0,2
"2024-09-21";1,3;3,5;0
"2024-10-01";0,9;2,8;0,3
"2024-10-11";0,8;2,2;4
"2024-10-21";1;2,5;0
"2024-11-01";0,8;1,9;0
"2024-11-11";0,8;1,7;2,9
"2024-11-21";0,8;1,6;0
"2024-12-01";0,5;1,3;0,4
"2024-12-11";0,4;1,2;0,5
