fid,Year,Type,Mean Kernel Yield (kg/ha),Water use (mm),WP [kg/m3],Country,Source,Note,,,,,,,,,,
0,2011,Open Vase,200,,,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
1,2012,Open Vase,1400,,,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
2,2013,Open Vase,1200,,,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
3,2014,Open Vase,1000,,,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
4,2015,Open Vase,1600,,,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
5,2016,Open Vase,2000,740,0.27,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
6,2017,Open Vase,3100,750,0.41,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
7,2018,Open Vase,3200,720,0.44,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
8,2019,Open Vase,2100,780,0.27,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
9,2020,Open Vase,2400,720,0.33,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
10,2021,Open Vase,1200,730,0.16,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
11,2022,Open Vase,1000,790,0.13,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
12,2011,Open Vase (MP),400,,,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
13,2012,Open Vase (MP),1800,,,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
14,2013,Open Vase (MP),1600,,,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
15,2014,Open Vase (MP),1600,,,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
16,2015,Open Vase (MP),2300,,,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
17,2016,Open Vase (MP),3400,900,0.38,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
18,2017,Open Vase (MP),3400,910,0.37,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
19,2018,Open Vase (MP),3700,870,0.43,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
20,2019,Open Vase (MP),2900,930,0.31,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
21,2020,Open Vase (MP),3000,880,0.34,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
22,2021,Open Vase (MP),1300,850,0.15,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
23,2022,Open Vase (MP),1600,900,0.18,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
24,2011,Central Axis,1200,,,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
25,2012,Central Axis,2000,,,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
26,2013,Central Axis,1000,,,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
27,2014,Central Axis,2100,,,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
28,2015,Central Axis,800,,,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
29,2016,Central Axis,3800,790,0.48,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
30,2017,Central Axis,1600,800,0.20,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
31,2018,Central Axis,4000,780,0.51,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
32,2019,Central Axis,2400,830,0.29,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
33,2020,Central Axis,3000,780,0.38,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
34,2021,Central Axis,1400,800,0.18,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
35,2022,Central Axis,1200,850,0.14,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
36,2011,Hedgerow,1200,,,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
37,2012,Hedgerow,2000,,,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
38,2013,Hedgerow,1000,,,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
39,2014,Hedgerow,2100,,,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
40,2015,Hedgerow,800,,,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
41,2016,Hedgerow,4000,680,0.59,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
42,2017,Hedgerow,3600,690,0.52,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
43,2018,Hedgerow,4000,660,0.61,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
44,2019,Hedgerow,2000,700,0.29,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,USA,,"For comparative purposes, we estimated their WPM as yield per unit water supplied (AW + effective rainfall), assuming their effective rainfall to be 70% of total."
45,2020,Hedgerow,2600,660,0.39,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,USA,,
46,2021,Hedgerow,2000,650,0.31,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,USA,,
47,2022,Hedgerow,1200,700,0.17,Spain,https://www.sciencedirect.com/science/article/pii/S0304423824004928,Water use is calculated as transpiration,,,,,,,,,,
48,2005,,4000,1000,0.40,USA,https://sci-hub.se/https://doi.org/10.1007/s00271-016-0528-2,"For comparative purposes, we estimated their WPM as yield per unit water supplied (AW + effective rainfall), assuming their effective rainfall to be 70% of total.",,,,,,,,,,
49,2005,,4000,1100,0.36,USA,https://sci-hub.se/https://doi.org/10.1007/s00271-016-0528-2,"For comparative purposes, we estimated their WPM as yield per unit water supplied (AW + effective rainfall), assuming their effective rainfall to be 70% of total.",,,,,,,,,,
50,2005,,3900,1100,0.35,USA,https://sci-hub.se/https://doi.org/10.1007/s00271-016-0528-2,"For comparative purposes, we estimated their WPM as yield per unit water supplied (AW + effective rainfall), assuming their effective rainfall to be 70% of total.",,,,,,,,,,
51,2005,,3800,1150,0.33,USA,https://sci-hub.se/https://doi.org/10.1007/s00271-016-0528-2,"For comparative purposes, we estimated their WPM as yield per unit water supplied (AW + effective rainfall), assuming their effective rainfall to be 70% of total.",,,,,,,,,,
52,2005,,3750,1175,0.32,USA,https://sci-hub.se/https://doi.org/10.1007/s00271-016-0528-2,"For comparative purposes, we estimated their WPM as yield per unit water supplied (AW + effective rainfall), assuming their effective rainfall to be 70% of total.",,,,,,,,,,
53,2005,,3750,1210,0.31,USA,https://sci-hub.se/https://doi.org/10.1007/s00271-016-0528-2,"For comparative purposes, we estimated their WPM as yield per unit water supplied (AW + effective rainfall), assuming their effective rainfall to be 70% of total.",,,,,,,,,,
54,2005,,3600,1250,0.29,USA,https://sci-hub.se/https://doi.org/10.1007/s00271-016-0528-2,"For comparative purposes, we estimated their WPM as yield per unit water supplied (AW + effective rainfall), assuming their effective rainfall to be 70% of total.",,,,,,,,,,
55,2005,,3400,1320,0.26,USA,https://sci-hub.se/https://doi.org/10.1007/s00271-016-0528-2,"For comparative purposes, we estimated their WPM as yield per unit water supplied (AW + effective rainfall), assuming their effective rainfall to be 70% of total.",,,,,,,,,,
56,2005,,3200,1350,0.24,USA,https://sci-hub.se/https://doi.org/10.1007/s00271-016-0528-3,"For comparative purposes, we estimated their WPM as yield per unit water supplied (AW + effective rainfall), assuming their effective rainfall to be 70% of total.",,,,,,,,,,
57,2005,,3200,1350,0.24,USA,https://sci-hub.se/https://doi.org/10.1007/s00271-016-0528-4,"For comparative purposes, we estimated their WPM as yield per unit water supplied (AW + effective rainfall), assuming their effective rainfall to be 70% of total.",,,,,,,,,,
58,2024,,2500,1100,0.23,My farm,,,,,,,,,,,,
