system:index,NDVI_max,NDVI_mean,NDVI_median,NDVI_min,NDVI_pixelCount,NDVI_stdDev,date,feature_id,.geo
00000000000000000000_20170525T112121_20170525T112434_T29SNC,0.4893500819224468,0.2920079205539032,0.28022451923245817,0.15326586936522543,1194,0.06390115114712337,2017-05-25,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20170604T112121_20170604T112755_T29SNC,0.5878155872667399,0.3210216688810023,0.29995195230362304,0.1541593949970913,1194,0.08340869834846251,2017-06-04,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20170704T112111_20170704T112431_T29SNC,0.4952651515151516,0.26500395566977286,0.2429894441525835,0.11655742376745509,1194,0.07187380355513834,2017-07-04,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20170714T112111_20170714T113033_T29SNC,0.4588706091596265,0.2581117864601232,0.23911186797291728,0.1275167785234899,1194,0.06355435150391282,2017-07-14,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20170724T112121_20170724T112433_T29SNC,0.5164835164835164,0.26195511065131494,0.2350862283983328,0.09588268471517203,1194,0.07964391409967594,2017-07-24,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20170803T112121_20170803T112850_T29SNC,0.5453100158982512,0.2575615007244318,0.22750254550335702,0.10151430173864268,1194,0.08479150291782732,2017-08-03,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20170813T112121_20170813T112433_T29SNC,0.5398373983739838,0.2708894992008873,0.23706670835660335,0.11866295264623955,1194,0.07748518146509412,2017-08-13,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20170902T112111_20170902T112431_T29SNC,0.570615034168565,0.29572557612452155,0.2509631836365945,0.1268115942028985,1194,0.09923565320540374,2017-09-02,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20170912T112111_20170912T112111_T29SNC,0.5976441413515188,0.2919794305119707,0.2492353988712488,0.14120904476234425,1194,0.10314388136549599,2017-09-12,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20170922T112111_20170922T112655_T29SNC,0.607854630715123,0.2904625740267878,0.2437439358114921,0.08633304067895814,1194,0.10318625920335253,2017-09-22,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
